Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,137853,5983,82586,49284,0,4.34,59.91,7.24,38928341,3541.0,131586,6267,4.76
Albania,132647,2456,130067,124,18,1.85,98.05,1.89,2877800,46093.0,132580,67,0.05
Algeria,151103,3910,104397,42796,1197,2.59,69.09,3.75,43851043,3446.0,144483,6620,4.58
Andorra,14273,127,13844,302,34,0.89,96.99,0.92,77265,184728.0,14075,198,1.41
Angola,40631,952,34724,4955,101,2.34,85.46,2.74,32866268,1236.0,39791,840,2.11
Antigua and Barbuda,1268,42,1224,2,1,3.31,96.53,3.43,97928,12948.0,1266,2,0.16
Argentina,4737213,101158,4363105,272950,17261,2.14,92.1,2.32,45195777,104815.0,4627537,109676,2.37
Armenia,227111,4558,218128,4425,162,2.01,96.04,2.09,2963234,76643.0,226135,976,0.43
Australia,31771,913,23935,6923,145,2.87,75.34,3.81,50919400,624.0,31015,756,2.44
Austria,653001,10728,639352,2921,341,1.64,97.91,1.68,9006400,72504.0,651291,1710,0.26
Azerbaijan,337970,4990,331112,1868,169,1.48,97.97,1.51,10139175,33333.0,336962,1008,0.3
Bahamas,13404,273,12066,1065,130,2.04,90.02,2.26,393248,34085.0,13024,380,2.92
Bahrain,267727,1379,265386,962,108,0.52,99.13,0.52,1701583,157340.0,267038,689,0.26
Bangladesh,1083922,17465,914343,152114,12148,1.61,84.36,1.91,164689383,6582.0,1000543,83379,8.33
Barbados,4241,48,4156,37,11,1.13,98.0,1.15,287371,14758.0,4128,113,2.74
Belarus,432388,3306,425907,3175,1276,0.76,98.5,0.78,9449321,45759.0,425804,6584,1.55
Belgium,1103413,25209,0,1078204,1344,2.28,0.0,7.9121989528795815,23021022,47931.0,1093700,9713,0.89
Belize,13683,332,13035,316,39,2.43,95.26,2.55,397621,34412.0,13518,165,1.22
Benin,8244,107,8081,56,0,1.3,98.02,1.32,12123198,680.0,8227,17,0.21
Bhutan,2398,2,2038,358,18,0.08,84.99,0.1,771612,3108.0,2258,140,6.2
Bolivia,459579,17375,386591,55613,0,3.78,84.12,4.49,11673029,39371.0,451224,8355,1.85
Bosnia and Herzegovina,205285,9666,187213,8406,18,4.71,91.2,5.16,3280815,62571.0,205047,238,0.12
Botswana,86133,1274,73380,11479,0,1.48,85.19,1.74,2351625,36627.0,75388,10745,14.25
Brazil,19308109,540398,17252650,1515061,45591,2.8,89.35,3.13,422706534,45677.0,19020499,287610,1.51
Brunei,282,3,256,23,0,1.06,90.78,1.17,437483,645.0,266,16,6.02
Bulgaria,422873,18169,397160,7544,76,4.3,93.92,4.57,6948445,60859.0,422414,459,0.11
Burkina Faso,13532,169,13335,28,2,1.25,98.54,1.27,20903278,647.0,13506,26,0.19
Burma,218739,4536,155959,58244,6194,2.07,71.3,2.91,54409800,4020.0,184375,34364,18.64
Burundi,5802,8,773,5021,38,0.14,13.32,1.03,11890781,488.0,5608,194,3.46
Cabo Verde,33234,295,32371,568,54,0.89,97.4,0.91,555988,59775.0,32928,306,0.93
Cambodia,65500,1052,57027,7421,889,1.61,87.06,1.84,16718971,3918.0,59045,6455,10.93
Cameroon,81467,1330,35261,44876,609,1.63,43.28,3.77,26545864,3069.0,80858,609,0.75
Canada,1430127,26450,1398654,5023,380,1.85,97.8,1.89,75750184,18880.0,1427582,2545,0.18
Central African Republic,7142,98,6859,185,0,1.37,96.04,1.43,4829764,1479.0,7142,0,0.0
Chad,4964,174,4777,13,5,3.51,96.23,3.64,16425859,302.0,4953,11,0.22
Chile,1596549,34309,1547042,15198,2053,2.15,96.9,2.22,36692988,43511.0,1582391,14158,0.89
China,104224,4848,98769,607,31,4.65,94.77,4.91,2809352660,37.0,104019,205,0.2
Colombia,4601335,115333,4353957,132045,17893,2.51,94.62,2.65,99141018,46412.0,4471622,129713,2.9
Comoros,4009,147,3819,43,7,3.67,95.26,3.85,869595,4610.0,3979,30,0.75
Congo (Brazzaville),12933,172,11759,1002,0,1.33,90.92,1.46,89561403,144.0,12790,143,1.12
Congo (Kinshasa),45426,984,28801,15641,215,2.17,63.4,3.42,5518087,8232.0,43694,1732,3.96
Costa Rica,389798,4874,313223,71701,1500,1.25,80.36,1.56,5094114,76519.0,380482,9316,2.45
Cote d'Ivoire,49069,320,48376,373,70,0.65,98.59,0.66,26378274,1860.0,48776,293,0.6
Croatia,361349,8234,352430,685,131,2.28,97.53,2.34,4105268,88021.0,360680,669,0.19
Cuba,269546,1791,224265,43490,6460,0.66,83.2,0.8,11326616,23798.0,224818,44728,19.9
Cyprus,89410,384,39061,49965,953,0.43,43.69,0.98,1207361,74054.0,82463,6947,8.42
Czechia,1670583,30335,1637541,2707,235,1.82,98.02,1.85,10708981,155998.0,1668891,1692,0.1
Denmark,305412,2542,292930,9940,973,0.83,95.91,0.87,5897840,51784.0,298970,6442,2.15
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,34291.588541666664,712,0,0.0
Djibouti,11622,155,11457,10,0,1.33,98.58,1.35,988002,11763.0,11614,8,0.07
Dominica,199,0,194,5,0,0.0,97.49,0.0,71991,2764.0,197,2,1.02
Dominican Republic,336693,3910,277978,54805,549,1.16,82.56,1.41,10847904,31038.0,332384,4309,1.3
Ecuador,473647,21899,437167,14581,925,4.62,92.3,5.01,17643060,26846.0,467073,6574,1.41
Egypt,283567,16431,222315,44821,77,5.79,78.4,7.39,102334403,2771.0,282864,703,0.25
El Salvador,82852,2477,75136,5239,247,2.99,90.69,3.3,6486201,12774.0,80932,1920,2.37
Equatorial Guinea,8828,123,8591,114,0,1.39,97.32,1.43,1402985,6292.0,8790,38,0.43
Eritrea,6402,30,6043,329,20,0.47,94.39,0.5,3546427,1805.0,6259,143,2.28
Estonia,131743,1271,128077,2395,62,0.96,97.22,0.99,1326539,99313.0,131396,347,0.26
Eswatini,20898,701,18666,1531,205,3.35,89.32,3.76,1160164,18013.0,19779,1119,5.66
Ethiopia,277536,4352,262237,10947,93,1.57,94.49,1.66,114963583,2414.0,276871,665,0.24
Fiji,15291,80,3218,11993,1405,0.52,21.05,2.49,896444,17057.0,9521,5770,60.6
Finland,99592,978,46000,52614,380,0.98,46.19,2.13,5540718,17975.0,97651,1941,1.99
France,5906448,111641,408567,5386240,10995,1.89,6.92,27.33,68151730,86666.0,5865767,40681,0.69
Gabon,25260,162,24973,125,15,0.64,98.86,0.65,2225728,11349.0,25164,96,0.38
Gambia,6610,188,5991,431,0,2.84,90.64,3.14,2416664,2735.0,6183,427,6.91
Georgia,384387,5516,362957,15914,1653,1.44,94.42,1.52,3989175,96358.0,374836,9551,2.55
Germany,3749944,91367,3636960,21617,1565,2.44,96.99,2.51,166803158,22481.0,3742355,7589,0.2
Ghana,98114,806,94796,2512,0,0.82,96.62,0.85,31072945,3158.0,96971,1143,1.18
Greece,453200,12809,93764,346627,2688,2.83,20.69,13.66,10423056,43481.0,435018,18182,4.18
Grenada,161,1,160,0,0,0.62,99.38,0.62,112519,1431.0,161,0,0.0
Guatemala,330651,9871,288118,32662,2896,2.99,87.14,3.43,17915567,18456.0,314302,16349,5.2
Guinea,24385,185,23495,705,87,0.76,96.35,0.79,13132792,1857.0,24020,365,1.52
Guinea-Bissau,4034,72,3678,284,36,1.78,91.18,1.96,1967998,2050.0,3934,100,2.54
Guyana,21351,507,19665,1179,77,2.37,92.1,2.58,786559,27145.0,20834,517,2.48
Haiti,19374,487,12961,5926,0,2.51,66.9,3.76,11402533,1699.0,19220,154,0.8
Holy See,27,0,27,0,0,0.0,100.0,0.0,809,33375.0,27,0,0.0
Honduras,277974,7391,95311,175272,0,2.66,34.29,7.75,9904608,28065.0,272730,5244,1.92
Hungary,808725,30015,742632,36078,64,3.71,91.83,4.04,9660350,83716.0,808437,288,0.04
Iceland,6555,29,6476,50,0,0.44,98.79,0.45,341250,19209.0,6555,0,0.0
India,31064908,413091,30227792,424025,38079,1.33,97.31,1.37,2751341248,11291.0,30795716,269192,0.87
Indonesia,2780803,71397,2204491,504915,54000,2.57,79.28,3.24,273523621,10167.0,2455912,324891,13.23
Iran,3485940,86791,3101618,297531,21885,2.49,88.98,2.8,83992953,41503.0,3344122,141818,4.24
Iraq,1474865,17751,1340383,116731,8336,1.2,90.88,1.32,40222503,36668.0,1414925,59940,4.24
Ireland,281954,5018,23364,253572,1170,1.78,8.29,21.48,4937796,57101.0,276735,5219,1.89
Israel,850104,6444,837587,6073,830,0.76,98.53,0.77,8655541,98215.0,845379,4725,0.56
Italy,4281214,127851,4110649,42714,2895,2.99,96.02,3.11,120822834,35434.0,4268491,12723,0.3
Jamaica,50983,1140,44207,5636,70,2.24,86.71,2.58,2961161,17217.0,50568,415,0.82
Japan,835029,14976,793487,26566,3408,1.79,95.03,1.89,252643406,3305.0,816593,18436,2.26
Jordan,760161,9879,742516,7766,475,1.3,97.68,1.33,10203140,74503.0,755948,4213,0.56
Kazakhstan,541747,3600,480489,57658,5658,0.66,88.69,0.75,18776707,28852.0,505630,36117,7.14
Kenya,191712,3754,180624,7334,692,1.96,94.22,2.08,53771300,3565.0,187977,3735,1.99
Kiribati,2,0,0,2,0,0.0,0.0,0.0,117606,17.0,2,0,0.0
"Korea, South",176500,2055,157960,16485,1454,1.16,89.5,1.3,51269183,3443.0,166722,9778,5.86
Kosovo,107894,2268,105531,95,11,2.1,97.81,2.15,1793000,60175.0,107835,59,0.05
Kuwait,383347,2193,363992,17162,1263,0.57,94.95,0.6,4270563,89765.0,372549,10798,2.9
Kyrgyzstan,146292,2154,122923,21215,1334,1.47,84.03,1.75,6524191,22423.0,137058,9234,6.74
Laos,3187,4,2174,1009,95,0.13,68.21,0.18,7275556,438.0,2537,650,25.62
Latvia,138087,2542,134980,565,46,1.84,97.75,1.88,1886202,73209.0,137831,256,0.19
Lebanon,550004,7883,535051,7070,577,1.43,97.28,1.47,6825442,80581.0,547170,2834,0.52
Lesotho,12398,339,6601,5458,245,2.73,53.24,5.14,2142252,5787.0,11646,752,6.46
Liberia,5306,148,2652,2506,0,2.79,49.98,5.58,5057677,1049.0,5080,226,4.45
Libya,217434,3253,182785,31396,2866,1.5,84.06,1.78,6871287,31644.0,201236,16198,8.05
Liechtenstein,3061,59,2989,13,0,1.93,97.65,1.97,38137,80263.0,3054,7,0.23
Lithuania,279572,4404,268277,6891,84,1.58,95.96,1.64,2722291,102697.0,279094,478,0.17
Luxembourg,72759,820,70150,1789,127,1.13,96.41,1.17,625976,116233.0,72010,749,1.04
MS Zaandam,9,2,7,0,0,22.22,77.78,28.57,0,34291.588541666664,9,0,0.0
Madagascar,42495,936,40879,680,16,2.2,96.2,2.29,27691019,1535.0,42392,103,0.24
Malawi,42254,1313,34685,6256,756,3.11,82.09,3.79,19129955,2209.0,38434,3820,9.94
Malaysia,893323,6728,772542,114053,12541,0.75,86.48,0.87,32365998,27601.0,817838,75485,9.23
Maldives,75736,216,72930,2590,114,0.29,96.3,0.3,540542,140111.0,74903,833,1.11
Mali,14502,529,11167,2806,6,3.65,77.0,4.74,20250834,716.0,14457,45,0.31
Malta,32069,420,30208,1441,235,1.31,94.2,1.39,441539,72630.0,30851,1218,3.95
Marshall Islands,4,0,4,0,0,0.0,100.0,0.0,58413,68.0,4,0,0.0
Mauritania,22298,508,20568,1222,111,2.28,92.24,2.47,4649660,4796.0,21499,799,3.72
Mauritius,1858,18,1534,306,0,0.97,82.56,1.17,1271767,1461.0,1858,0,0.0
Mexico,2642068,236015,2074145,331908,12420,8.93,78.5,11.38,255584572,10337.0,2577140,64928,2.52
Micronesia,1,0,1,0,0,0.0,100.0,0.0,113815,9.0,1,0,0.0
Moldova,257842,6222,250798,822,76,2.41,97.27,2.48,4033963,63918.0,257343,499,0.19
Monaco,2662,33,2562,67,7,1.24,96.24,1.29,39244,67832.0,2611,51,1.95
Mongolia,145787,726,125882,19179,1295,0.5,86.35,0.58,3278292,44470.0,134270,11517,8.58
Montenegro,100590,1621,98641,328,23,1.61,98.06,1.64,628062,160159.0,100430,160,0.16
Morocco,552635,9427,529853,13355,2791,1.71,95.88,1.78,36910558,14972.0,539839,12796,2.37
Mozambique,96127,1075,75125,19927,1394,1.12,78.15,1.43,31255435,3076.0,86249,9878,11.45
Namibia,110365,2371,84613,23381,1009,2.15,76.67,2.8,2540916,43435.0,102373,7992,7.81
Nepal,664576,9506,628243,26827,2006,1.43,94.53,1.51,29136808,22809.0,652859,11717,1.79
Netherlands,1805526,18060,27501,1759965,11368,1.0,1.52,65.67,34882427,51760.0,1736666,68860,3.97
